67.79,1222.16
63.31,1129.03
58.27,1046.48
52.53,971.95
46.72,904.74
42.73,844.19
40.45,789.91
39.72,741.99
40.00,698.96
41.02,659.88
42.52,624.38
44.34,592.07
46.36,562.89
48.60,535.97
51.00,512.03
53.53,489.51
56.09,469.05
58.78,449.78
61.47,431.76
64.15,415.45
66.76,400.22
69.20,385.72
71.42,372.50
73.34,360.62
75.13,349.48
76.75,339.23
78.20,328.89
79.51,319.14
80.62,309.89
81.63,301.06
82.56,292.35
83.32,283.49
83.82,275.50
84.28,267.80
84.41,260.36
84.38,252.75
83.95,245.02
83.45,238.06
82.74,230.97
81.95,224.24
80.95,217.71
79.64,211.18
78.22,205.29
76.64,199.81
74.95,194.88
73.03,189.85
71.02,184.73
68.98,179.86
66.76,175.05
64.70,170.23
62.51,165.43
60.38,159.83
58.20,154.09
56.04,148.11
54.02,142.37
52.10,137.25
50.24,132.95
48.40,129.16
46.54,125.88
44.98,123.41
43.47,120.81
41.93,117.75
40.45,114.53
